rank,Youtuber,subscribers,channel_type,video_views_rank
321,Sagawa /ï¿½ï¿½ï¿½,22000000,Entertainment,144
322,Ben Azelart,21900000,Entertainment,1620
323,Zach Choi ASMR,21900000,People,1069
324,Topper Guild,21900000,Comedy,204
325,Disney Latinoamï¿½ï¿½,21900000,Music,1277277
326,Stokes Twins,21800000,People,1610
327,National Geographic,21800000,Entertainment,1158
328,Dua Lipa,21800000,Music,368
329,OneDirectionVEVO,21800000,Music,322
330,Rotana,21800000,Music,926975
331,Netflix India,21800000,People,4052308
332,Sourav Joshi Vlogs,21700000,People,498
333,ZAMZAM ELECTRONICS TRADING,21700000,People,608
334,DUDU e CAROL,21600000,Entertainment,481
335,Village Cooking Channel,21600000,Howto,1082
336,Eva Bravo Play,21600000,Entertainment,507
337,Tekashi 6ix9ine,21500000,Music,1081
338,Tlnovelas,21500000,Entertainment,1936958
339,SMOL,21500000,Music,4057657
340,invictor,21500000,People,4038708
341,YOLO,21400000,nan,4057944
342,Sidhu Moose Wala,21400000,Music,987
343,The Royalty Family,21300000,People,982
344,Becky G,21300000,Music,396
345,Ishaan Ali 11,21300000,People,301
346,Infinite,21300000,Entertainment,1296
347,Azhan5star,21300000,Entertainment,436
348,Dangal TV Channel,21300000,Entertainment,291
349,Khan GS Research Centre,21200000,People,4057930
350,GMA Public  Affairs,21200000,News,359
351,Tasty,21100000,Howto,1113
352,Baim Paula,21100000,Entertainment,1583
353,nigahiga,21000000,Entertainment,1671
354,Rafa & Luiz,21000000,Entertainment,695
355,Lyrical Lemonade,21000000,Entertainment,398
356,Vlad and Niki IDN,21000000,Entertainment,464
357,Dr. Vivek Bindra: Motivational Speaker,20900000,Education,6082
358,Fatos Desconhecidos,20900000,Entertainment,2033
359,Brave Wilderness,20900000,Animals,1396
360,LIV Crime,20900000,People,372
361,Minecraft - Topic,20900000,Games,4057944
362,Romeo Santos,20900000,Music,2595710
363,Canal Canalha,20800000,Comedy,5407
364,Kurzgesagt ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,20800000,Education,3914
365,Yoeslan,20700000,Entertainment,146
366,5-Minute Crafts DIY,20700000,Howto,1334
367,Zach King,20700000,Entertainment,3997461
368,tuzelity SHUFFLE,20700000,People,570
369,NBA,20700000,Sports,304
370,Deddy Corbuzier,20600000,Entertainment,3539124
371,Bizarrap,20600000,Entertainment,711
372,Avicii,20600000,Music,421
373,Mnet K-POP,20500000,Entertainment,220
374,LazarBeam,20500000,Games,565
375,Ninja Kidz TV,20500000,Entertainment,377
376,Totoy kids - Portuguï¿½,20400000,Film,5673
377,Jake Paul,20400000,People,778
378,Linkin Park,20400000,Games,4057944
379,Vijay Television,20400000,Entertainment,43
380,SlivkiShow,20400000,Entertainment,1489
381,Emiway Bantai,20400000,Music,2236
382,Got Talent Global,20300000,Entertainment,3750
383,ýýýýýýýýýýýýýýý - Genevieve's Playhouse,20300000,Education,380
384,BabyBus - Cerita & Lagu Anak-anak,20300000,Education,332
385,Ami Rodriguez,20200000,Entertainment,2959
386,Noor Stars,20200000,Entertainment,3238
387,Family GamesTV,20200000,Games,4057944
388,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,20200000,Education,780
389,dednahype,20200000,Comedy,108
390,Marta and Rustam,20200000,Comedy,126
391,MiawAug,20200000,Games,1023
392,CookieSwirlC,20100000,Games,86
393,Skrillex,20100000,Music,905
394,AuthenticGames,20100000,Games,549
395,Robin Hood Gamer,20100000,Games,4057944
396,Pencilmation,20100000,Entertainment,366
397,7clouds,20100000,Music,227
398,5-Minute Crafts PLAY,20100000,Howto,1014
399,Marvel Entertainment,20100000,Film,4054962
400,BuzzFeedVideo,20100000,People,150
401,REACT,20000000,Entertainment,281
402,Vevo,20000000,Music,22747
403,Gordon Ramsay,20000000,Entertainment,2001
404,Pentatonix,20000000,Entertainment,4051673
405,Green Gold TV - Official Channel,20000000,Entertainment,473
406,Gusttavo Lima Oficial,19900000,Music,258
407,HaerteTest,19800000,Tech,2583
408,Crafty Panda,19800000,Entertainment,1120
409,SOMOY TV,19800000,News,1291541
410,JennaMarbles,19700000,Comedy,5665
411,Troom Troom Es,19700000,Howto,747
412,Official Pink Panther,19700000,Games,4052414
413,Britain's Got Talent,19700000,Entertainment,364
414,SCTV,19700000,Music,2831648
415,AS Gaming,19600000,Games,3857915
416,Sony AATH,19600000,Entertainment,257
417,tabii Urdu,19600000,Entertainment,562
418,DaFuq!?Boom!,19600000,Entertainment,656
419,Clash of Clans,19600000,Games,1934
420,RKD Studios,19500000,Entertainment,1265
421,DLS News,19400000,News,4178
422,JukiLop,19400000,People,6674
423,etvteluguindia,19400000,Entertainment,88
424,FIFA,19400000,Sports,1186
425,Manoj  parihar,19300000,Howto,48846
426,Vsauce,19300000,Entertainment,3024
427,Unbox Therapy,19300000,Tech,1596
428,shane,19200000,Comedy,1705
429,Sonotek,19200000,Music,724
430,Jimmy Kimmel Live,19100000,Comedy,283
